ID,Emotion,Text,Lable
Sess01_script01_F019,surprise,아 저 저 앞에 아 사람. 우리가 친 사람. 아 지나가고 있어. ,1
Sess01_script01_F001,fear, 몰라. 아 몰라 어떡해. ,0
Sess01_script05_F010,sad,6개월. ,3
Sess01_script02_F001,neutral,음 맛있다. 근데 자긴 안 먹어?,4
Sess01_script05_F018,sad,나두 살구 싶어. 나도 사람인데 근데 싸우기엔 너무 늦었고 지쳤어.,3
Sess01_script06_F025,happy,어 오빠 어 나 생각만 해도 너무 좋아.,5
Sess01_script05_F011,sad,화낸다고 달라질 거 없잖아.,3
Sess01_impro03_F020,surprise,누가? 누가 들었는데?,1
Sess01_script01_F011,fear,자기 무섭게 왜 이래. ,0
Sess01_script01_F002,fear, 지섭씨. 일단 112에 신고하자.,0
Sess01_script06_F019,happy, 걱정 마. 나 오빠 동생이야. 친동생. 나 몰라? 나 못 믿어?,5
Sess01_impro04_F031,neutral," 있어봐 내가, 내가 빨래한 걸로 갓 빨래한 걸로 갖다 줄게.",4
Sess01_script02_F004,neutral, 아이 얼릉.,4
Sess01_impro02_F018,sad,왜 없다고 생각해 엄마 서운하게 응? 엄마도 알아. 우리 아들 많이 힘들었구나? ,3
Sess01_impro04_F002,neutral,아 진짜?,4
Sess01_impro04_F015,happy,나는 좋았다고 그 얘기를 하고 싶은 거예요.,5
Sess01_impro04_F023,happy,아 안 들려 안 들려.,5
Sess01_impro03_F016,neutral,꼭 여기서만 일을 해야 되는 건 아니잖아요? 만약에 만약에 해고 조치된다면 내가 알아봐 줄게요.,4
Sess01_script06_F007,angry,헐 그냥 인터넷으로 나중에 검색하라고,2
Sess01_script01_F016,fear,지섭씨 무서워,0
Sess01_impro04_F009,neutral,알았어.,4
Sess01_impro04_F020,neutral,아 왜.,4
Sess01_impro04_F022,neutral, 그러면은 어? 내가 듣고 싶은 말이 있는데 안 해주네 자꾸?,4
Sess01_impro04_F006,neutral,어? 아다쳤어 으으으 별거 아니야.,4
Sess01_script04_F012,angry, 회사 다닐 때 했습니다.,2
Sess01_script06_F001,neutral,뭐야. 시간이 벌써 이렇게 됐네 드라마 봐야지. 어? 오빠 불 꺼놓고 거실에서 뭐해?,4
Sess01_script03_F009,angry,팀장님 말씀이 좀 지나치신 것 같은데,2
Sess01_script06_F011,surprise, 아 진짜? 진짜? 오빠아아 어 진짜 어떡해 여섯개 다 맞는 거 아니야? 1등? 1 등?,1
Sess01_script02_F024,neutral,에휴 참나. ,4
Sess01_script06_F017,happy, 아 사랑하는 오빠. 나 잊으면 안 돼. 나 잊으면 안 돼. 어? 어? 나 마침 구두를 새로 사야 되는데.,5
Sess01_impro04_F028,happy,은서 안깨게 일단 씻고 와.,5
Sess01_impro03_F019,surprise,나 무슨 얘기 하는지 모르겠네?,1
Sess01_impro02_F010,neutral,아들 밥 먹을까?,4
Sess01_script05_F001,neutral, 뭐 뭐가 그렇게 재밌어,4
Sess01_impro03_F008,angry,무슨 말이에요 내가 막을 수 있었는데 안 막았다는 얘기에요?,2
Sess01_script05_F014,sad,사실 우리 아빠도 나랑 같은 병이었어.,3
Sess01_script02_F007,neutral,궁금해?,4
Sess01_impro02_F001,neutral,왜 아들 무슨 일 있었어?,4
Sess01_script05_F005,sad,잘 들어 나 폐에 종양이 생겼대.,3
Sess01_script02_F019,surprise,아 이게 뭐야? 중국집 젓가락들이잖아. ,1
Sess01_impro02_F004,neutral,아들 일단 좀 진정하고.,4
Sess01_script03_F004,neutral,전 차인 거네요.,4
Sess01_impro04_F001,neutral,왔어요? 밥은?,4
Sess01_impro04_F007,neutral,아니 그게 아니라 아까 놀이터에서 은서랑 놀다가 이렇게 돼버렸네. 괜찮아 근데 아휴 은서 다칠뻔했어 진짜 안 다쳐서 다행이지.,4
Sess01_impro03_F010,angry,거의 다 했단 말이죠 근데 이제 와서 이렇게 발을 떼버리면 나보고 어떻게 하라는 거예요?,2
Sess01_script04_F004,neutral, 아 그게 아무래도 학업에 뜻한 바가 있어서 늦게까지 공부를 하게 됐습니다,4
Sess01_impro01_F009,angry,지금 당신이 말하는 바로는.,2
Sess01_impro02_F002,neutral,왜 또 무슨 일인데.,4
Sess01_script02_F021,neutral,젓가락 100개? 아니 그게 근데 왜 이걸 날 줘?,4
Sess01_impro03_F001,neutral,들어와요.,4
Sess01_script02_F028,happy,대신 같이 살아야겠어.,5
Sess01_impro02_F009,neutral,난 아들 편이지.,4
Sess01_script04_F011,angry,아니 그런 얘긴 좀 .,2
Sess01_impro03_F007,neutral,나도 최선을 다해서 막아보려고는 해보겠는데 힘들 것 같네요.,4
Sess01_script01_F013,fear, 지섭씨 사람 목숨이 달린 거잖아. 일단 찾아보자 어? 혹시 모르니까 경찰에 신고도 해보고 내가 전화할게,0
Sess01_script01_F017,fear,아 알았어.,0
Sess01_script06_F006,angry,아 모르겠고 드라마 할 시간이니까 리모콘이나 주시지,2
Sess01_script02_F012,neutral,에이 무슨 셋은 낳아야지.,4
Sess01_impro04_M001,neutral,아휴 여보 나왔어.,4
Sess01_script02_M019,neutral,어서 봐봐.,4
Sess01_impro02_M013,angry," 밥은 먹는데 엄마 저 얼마 전에 그 지은이랑도 헤어지고 이랬는데 지금 제 사정 알면서 지금 이러시, 일부러 이러는 거예요? 나 너무 힘들어요 요즘에 일도 안되고 연애도 안되고 아무것도 안되는데 지금 여기서 이렇게",2
Sess01_script02_M017,neutral, 유진아.,4
Sess01_impro04_M011,neutral,근데 자긴 항상 은서 신경 쓰는 게 너무 많아. 그땐 항상 고맙고. 아휴나중에 병원 한번 와봐 흉터 남으면 안 되니까.,4
Sess01_impro02_M016,angry,"엄마 자책하라고 하는 말 아니에요. 근데 엄마는 솔직히 지, 저한테 이렇게 하는 게 자체가 이건 아니라고 전 생각이 듭니다. 하.",2
Sess01_script03_M010,neutral,발전? 어디까지 돼야 발전일까요? 아이디어를 내는 족족 채택되면 발전된 겁니까? 아니면 회사에서 무조건 인정돼주면 그게 발전된 겁니까?,4
Sess01_script06_M018,happy,이씨 진짜 야 아프게 꼬집으면 어떡해. ,5
Sess01_script05_M003,neutral,어? 어 요 앞집에 마트가 있었나?,4
Sess01_script02_M028,surprise,이 이게 뭔데?,1
Sess01_script05_M024,sad, 저기 저기 미숙아 내가 내가 잘못했어 내가 잘못했어 응? 제발 살아줘 제발 살아줘제발 살아줘. ,3
Sess01_script04_M014,neutral,그럼 그럼 됐죠 뭐. 그 연애에 얘기를 물어본 것도 뭐 저도 실례였으니까 이해해 주시기 바랍니다. 어쨌든 이게 다 면접 보는 방식 중에 하납니다 이해하시죠? 그 그리고 이력서 보니까 그 특기가 노래랑 춤이라고 적혀있는데 노래 잘해요?,4
Sess01_script01_M002,angry,아이 씨 그러니까 나 말렸어야지. 술 먹어서 운전 안 한다고 했잖아. ,2
Sess01_impro03_M015,angry,아니요 좀 자존심이 상했어요. 어차피 이쪽 판은 다 소문 다 돌아서 알게 될 텐데 저 이대로 가만히 못 있습니다. ,2
Sess01_script06_M024,happy,뭐야 진짜야? 야 진. 아씨 아 아 돈이 좋긴 좋네 어? 언제 할 거야? ,5
Sess01_impro04_M014,neutral,아니 자기는 그거를 매년마다 꺼낼 거야? 어? 맨날 얘기하면서 그렇게 웃어?,4
Sess01_impro03_M013,angry,계약 위반이죠?,2
Sess01_script02_M021,sad,미안해 사실 이번에도 내가 월급을 못 받았어 가게 사정도 어렵구. 근데 오늘 우리 만난 지 100일인데 내가 선물 사줄수. ,3
Sess01_script01_M028,surprise,뭐 뭐가? 뭐 뭔데 뭔데? ,1
Sess01_impro04_M029,neutral,아이 근데 나 피곤하긴 피곤한데.,4
Sess01_impro03_M021,angry,"아니요 제가 볼 때는 벌써 판은 끝난 거 같고 더 말이 길어 필요, 필요 없는 것 같습니다. 그럼 이따 저녁때 어차피 이사님 미팅 있으니까 그때 가서 제가 진지하게 한번 얘기해보도록 하겠습니다.",2
Sess01_script02_M007,neutral,우리 여진이 꿈이 뭐야?,4
Sess01_script06_M016,happy,로또 1등. 로또 1등이야 1등. 이거 어쩔 거야. 야 이걸 어? 어떡하면 좋냐. ,5
Sess01_script05_M020,sad,여보 왜 이래 어? 왜 이렇게 약한 생각을 해.,3
Sess01_impro04_M003,neutral,여보는 밥 먹었어?,4
Sess01_impro04_M016,neutral,그래 나도 천만다행이었어.,4
Sess01_script04_M004,neutral,감사합니다음 근데 이게 장점이면서도 단점이군요. 지방대 이공계 출신에 더군다나 대학원을 나왔으니 나이도 많고 경력은 회사 생활 딸랑 삼 개월 빼고는 전무하고. ,4
Sess01_script04_M018,happy, 아이구 아유 아이구 잘하시네 어 목소리가 너무 작네 어? 그 이 좀 더 크게. ,5
Sess01_impro04_M025,neutral,아니 그럼 이 늦은 시간에 그럼 옆집 다 들리게끔 사랑해 크게 얘기해? 한번,4
Sess01_script04_M013,neutral,됐구요 그 취직 공부하느라고 연애할 시간도 없었던 거죠? 그럼 마지막 연애한 게 언제예요?,4
Sess01_script06_M015,surprise,이거 이거 어 어쩌면 좋냐,1
Sess01_impro01_M015,angry,이거 가지고 지금 한국사람들 입맛 속여가지고 지금 돈을 번다는 게 말이 됩니까? 지금 이게.,2
Sess01_script05_M023,sad,도대체 무슨 소리 하는 거야. 씨 그런 얘기 좀 그만해. ,3
Sess01_script03_M009,neutral,생각보다 소은씨는 까다롭군요. 그게 왜 궁금합니까?,4
Sess01_script05_M018,sad,야 미숙아 그게 중요한 게 아냐. 그런 그게 중요한 게 아니잖아. 일단 입원 치료하고 수술부터 받자 그럼 살 수 있어. ,3
Sess01_impro02_M005,angry,그죠 아 진정해야. 맞아요 예,2
Sess01_impro04_M013,neutral,뭐가.,4
Sess01_impro01_M014,angry, 이거는 제가 매체에다 좀 얘기를 해야겠습니다. ,2
Sess01_impro04_M021,neutral,아유 됐어.,4
Sess01_impro04_M030,happy,금방 씻고 올게.,5
Sess01_script03_M015,neutral,음 맞습니다. 그 지속성. 그리고 기본적으로 이번 프로젝트는 3년이란 시간을 기본 바탕으로 하고 있습니다. 그중에서 가장 필요한 게 담당자의 책임감과 꾸준함이죠. 환경 문제가 단 한 번 해결되는 게 아닙니다. 하지만 소은 씨는 그 기본마저 안 되어 있습니다. 자기 보고서 하나도 제대로 완수 못하고 오타를 내는 담당자한테 어떻게 3년이나 지속되는 프로젝트를 맡길 수가 있겠습니까,4
Sess01_script03_M006,neutral,그런 소은 씨는 왜 물어보시는 겁니까? 어차피 추진되면 다 아는 아이디어를 굳이 추진도 하기 전에 물어보는 이유가 뭘까요?,4
Sess01_script01_M015,angry,나 공무원 못 되면 우리 결혼도 못 해. 그잖아. 그냥 가자? 어? ,2
Sess01_script05_M002,happy,재밌어아이 웃기잖아. 아니 야 근데 이 이 바나나 너무 맛있다. 어디서 산 거야?,5
Sess01_impro04_M034,happy,그럼 들어와.,5
Sess01_script02_M027,happy, 여진아.,5
Sess01_script02_M008,neutral,그럼. 궁금하지.,4
Sess01_script06_M005,neutral,주시지야야야야야 이거 이거 10분이면 끝나 이거 조금만 기다려.,4
Sess01_impro04_M028,happy, 아유 진짜 이 사람 왜 이래 진짜 어? 둘째 가져야겠어 오늘?,5
Sess01_impro02_M020,sad,아 내가 이 나이 먹고 내가 진짜 이렇게 해야 돼요?,3
Sess01_script01_M021,angry,날 지금 망가트리려고 하고 있잖아. 너 입만 뻥끗해봐. 너도 똑같이 만들어줄테니까. ,2
Sess01_script03_M005,neutral,팀도 아닌데 설명을 드려야 됩니까?,4
Sess01_impro03_M011,angry,죄송합니다 저 부장님 한마디만 하겠습니다. 아니 좀 선을 넘으신 거 같애요.,2
Sess01_script06_M002,neutral, 친오빠한테 오지구 지리구가 뭐냐.,4
Sess01_impro04_M032,neutral,왜 수건 위치도 까먹어 남에 집 왔나 봐.,4
Sess01_impro02_M021,sad, 아니 내 편이 아무도 없잖아요 내 편이.,3
Sess01_impro04_M022,neutral,아이 무슨 사랑한대 당연히 사랑하는 건 하는 건데 그렇다고 무슨 또 이 오밤중에,4
Sess01_script06_M028,happy, 야 이 나도 나도 너무 놀라서 이게 이게 이게 꿈이야 생시냐.,5
Sess01_impro02_M002,angry,아니 나 진짜 밖에서 나 집 오늘 아나 나 이 나이 먹고 내 이런 취급받아야 돼요 도대체? 하 미치겠네 진짜.,2
Sess01_script04_M003,neutral,사정으로네 잘 알겠습니다. 어 학점은 꽤 높군요. 전공 지식도 풍부하고 대학원까지 나왔으니 이 분야에 대해서는 많이 아실 것 같습니다.,4
Sess01_impro03_M002,neutral,예 다들 아시겠지만 혹시 일처리가 어떻게 진행되고 있는지 궁금해서.,4
Sess01_script02_M025,surprise,뭐? 아 그게 갑자기 왜 그래?,1
Sess01_script03_M002,neutral,네 그렇습니다만 어쩐 일인가요?,4
Sess01_impro04_M018,neutral,그건 그런가?,4
Sess01_script04_M017,neutral,왜요? 못하겠어요? 아니 이력서에 적혀있는 걸 우린 확인할 권한이 있습니다. 진짜인지 가짜인지 확인을 해봐야죠. 아님 적질 말든가.,4
Sess01_script06_M006,angry,검색하라고지금 하고 있으니까 끝나고 준다고.,2
Sess01_script01_M008,surprise,어? 아무것도 없다니? 그게 말이 돼? 아 틀림없이 사람을 쳤잖아. 너도 봤잖아. ,1
Sess01_script01_M011,angry,아니잖아그럼 뭐야. 그럼 어떻게 된 거야. 사람은 쳤는데 그 사람이 없다는게. ,2
Sess01_impro01_M006,neutral," 아 유명한 거 많이 얘기 들었습니다. 얘기 들었는데, 저야 어차피 그건 잘 모르고, 어차피 저희 자존심 걸린 문제는 이 맛으로부터 평가되지 않겠습니까? 제가 외국에서 배웠을 때는 이런 라면은 쓰레기 취하 취합됩니다.",4
Sess01_script02_M010,happy,아니 그게 아니라 갑자기 그러니까 당연히 당황하지. .,5
Sess01_script04_M006,neutral,어 근데 유진 씨는 취미가 뭡니까?,4
Sess01_impro04_M002,neutral,먹었지.,4
Sess01_impro04_M027,neutral,사랑해 사랑해. 어 자기밖에 없어.,4
Sess01_script03_M014,neutral,이번 장기 프로젝트의 핵심은 뭐죠?,4
Sess01_script03_M013,neutral,제가 말씀드리면 소은 씨는 발전하는 게 아니라 퇴보하게 될 겁니다. 발전이란 바탕이 있어야 높아지는 건데 잔인한 얘기겠지만 소은 씨는 바탕이 부족합니다. 작성 후 읽어는 보셨습니까? 페이지 하나하나 마다 오타가 하나씩 있습니다 그리고,4
Sess01_script05_M019,sad, 여보. 그런 생각 하지마. 어? 지금도 안 늦었어. 우리 우리 일단 정리부터 하고 빨리 병원부터 가자? 어?,3
Sess01_script02_M030,neutral, 아니 그래도.,4
Sess01_script03_M001,neutral,네 안녕하세요.,4
Sess01_script06_M025,happy,진작에 그럴 것이지. 야 얼마 필요해?,5
Sess01_script04_M020,angry,아니 참 이거 어이가 없을라니까? 그럼 나가세요. 당신 말고도 지원자는 널렸어. ,2
Sess01_impro02_M009,angry,아니 그래 아들 말이 맞잖아요. 하 미치겠네 진짜,2
Sess01_script06_M004,neutral,가만있어라 어? 이게 다 정성을 담아야 당첨이 되는 거야 어? 나의 이 온 기운을 모아서 어? 그리고 나의 이 소망을 담아서 한 땀 한 땀 마킹 한 번호 6개가 빛이 나는 순간까지 본방을 지켜보면서 간절히 원하고 또 원하고 원해야지 당첨 되는 거를 몰라?,4
Sess01_impro04_M006,surprise,이거 뭐야 손은 왜 이래.,1
Sess01_impro02_M026,neutral,네 전 그거 아니면 안 삐질 거 같고 아 삐진 게 안 삐질 거 같애요.,4
Sess01_script06_M020,happy, 야이씨 야 저 성희야. 너 이 사실을 너 누구한테도 얘기하면 안 된다 알았지? ,5
Sess01_script05_M012,angry, 아 미치겠네 아니 그러니까 저번에 가슴 아프다고 할 때 내가 병원에 가보라고 했잖아. 그동안 왜 안간거야 왜.,2
Sess01_script06_M017,happy,야 야 나 좀 꼬집어 봐. 나 좀 꼬집어 야 이게 뭐 진짜냐? ,5
Sess01_impro01_M001,neutral,맛이야 있겠죠. 한 번 먹어보고 거 겉모습은 잘 꾸며놨네요. ,4
Sess01_impro03_M020,angry,같은데오해인 건지 아닌지는 제가 사원들한테 얘기해보고 이사님하고 직접 얘기를 해볼게요. 죄송하지만 저 충분히 감추고 갈 수 있었거든요? 근데 부장님이 깬 거라고 저는 생각합니다. 저 이대로 못 당하고 있어요 당하지 않겠습니다윤찬 씨 알겠어요.,2
Sess01_script05_M004,happy,아니 뭐 모를 수도 있지 뭐 그게 무슨 대수인가? 아이고 아이 야 저 저 저 저거 진짜 웃기다.,5
Sess01_impro01_M004,neutral,그럼 하나만 더 물어봅시다. 이 라면은 일본계에 있는 그런 라면하고 다른게 뭡니까?,4
Sess01_script04_M015,neutral, 치 설마가 사람 잡는다고 하잖아요. 특기가 노래랑 춤이라면서 뭐 보여줄 수 있습니까? 요즘 유행하는 노래 있잖아요. 그 그 뭡니까 그 그 그 초등학생들도 부르는 노래 뭐였다? 뭐 사랑을 했다,4
Sess01_impro01_M010,neutral,"저는 모릅니다 바보아닌지 바보인진 모르겠지만, 저 여기 앞에 지금 식당에 있는 이 손님들도 속아서 온 거일지도 모르지 않습니까?",4
Sess01_impro04_M010,neutral,이 사람이 지금아 진짜 괜찮은데 ,4
Sess01_impro02_M018,sad,엄마한테까지 이렇게 지금 무시당하니까 너무 진짜 속상해요 진짜.,3
Sess01_script02_M011,neutral,근데 꿈은 왜 물어본 거야?,4
Sess01_impro01_M002,neutral,"제가 잠깐만 하나 물어보겠습니다. 음식먹기 전에. 된장베이스라 했는데, 남녀노소가 과연 좋아할까요?",4
Sess01_script01_M018,angry,이래자꾸 이러면 나도 더 이상 안 참아. ,2
Sess01_script06_M001,neutral,로또 추첨 방송 기다린다. 로또 대박 로또 대박 로또 대박,4
Sess01_impro02_M011,angry,아니라그 뜻이잖아요 지금 엄마. 엄마 너무한 거 아니에요? 엄마 나 엄마 아들이에요 하나밖에 없는 엄마 아들 근데 말을 이렇게 할 거예요? 아 진짜.,2
Sess01_impro02_M015,angry,"말만 지금 예쁘다고 하고 예뻐해 주지 않았잖아요. 그러니까 걔가 도망간 거나 마, 전 생, 생각이 솔직히 들었긴 들어요.",2
Sess01_script06_M019,happy,아 나 이거 심장 뛰는 거 봐. 야 미치겠다 이 와 미치겠다 진짜.,5
Sess01_script02_M005,neutral,뭔데? ,4
Sess01_impro04_M033,neutral,들어오지 마 애들 있는데.,4
Sess01_impro01_M007,neutral,"그럼요. 당연하죠. 우리 한국 음식을 계속해서 널리 계승시키기 위해서는 여기서도 제가 직접 나서서 된장, 고추장, 김치를 통해서 요리기술을 다양하게 만들었습니다. 제가 우리나라의 선구자라고 전 생각하고 있습니다. 어떻게 생각합니까?",4
Sess01_script04_M002,neutral,음 지방대 출신이시네요.,4
Sess01_impro03_M010,angry,부장님.,2
Sess01_script01_M006,angry,이 야밤에 돌아다니다가 왜 내 차에 치이고 난리야 이씨. ,2
Sess01_impro03_M001,neutral, 부장님 들어가도 되겠습니까?,4
Sess01_script04_M016,neutral,어 그거 그거 한번 해봅시다 춤추면서.,4
Sess01_impro04_M024,neutral,귀까지 먹은 거야?,4
Sess01_impro04_M020,neutral,미안하지.,4
